event_id,date,hour,lat,lon,area_ha,y_gt10ha,y_gt100ha,comuna,region,temporada,split
1450,2015-01-05,12,-35.43694,-71.70417,0.65,0,0,Talca,Maule,2014 al 2015,train
1451,2015-01-05,12,-35.47278,-71.61472,0.4,0,0,Talca,Maule,2014 al 2015,train
1452,2015-01-05,13,-35.90194,-71.78778,4.5,0,0,Retiro,Maule,2014 al 2015,train
1453,2015-01-05,15,-35.43528,-71.69667,1.0,0,0,Talca,Maule,2014 al 2015,train
1454,2015-01-05,15,-35.43278,-71.69472,0.5,0,0,Talca,Maule,2014 al 2015,train
1455,2015-01-05,15,-35.95528,-72.35083,0.1,0,0,Cauquenes,Maule,2014 al 2015,train
1456,2015-01-05,15,-35.45806,-71.65306,1.0,0,0,Maule,Maule,2014 al 2015,train
1457,2015-01-05,16,-35.70056,-71.73444,2.0,0,0,Villa Alegre,Maule,2014 al 2015,train
1458,2015-01-05,18,-35.55861,-71.69528,0.05,0,0,San Javier,Maule,2014 al 2015,train
1459,2015-01-06,17,-35.38583,-71.56361,0.6,0,0,Talca,Maule,2014 al 2015,train
1460,2015-01-07,13,-35.42972,-71.68222,0.3,0,0,Talca,Maule,2014 al 2015,train
1461,2015-01-07,14,-35.95889,-71.68472,3.3,0,0,Longaví,Maule,2014 al 2015,train
1462,2015-01-07,18,-36.18111,-71.57139,1.0,0,0,Longaví,Maule,2014 al 2015,train
1463,2015-01-08,12,-35.71194,-71.80028,3.0,0,0,San Javier,Maule,2014 al 2015,train
1464,2015-01-08,16,-35.05222,-71.28444,0.5,0,0,Molina,Maule,2014 al 2015,train
1465,2015-01-08,16,-35.06778,-71.31833,0.2,0,0,Molina,Maule,2014 al 2015,train
1466,2015-01-08,18,-35.34056,-72.40806,0.03,0,0,Constitución,Maule,2014 al 2015,train
1467,2015-01-08,21,-35.13611,-71.28556,0.05,0,0,Molina,Maule,2014 al 2015,train
1468,2015-01-09,3,-35.42528,-71.7075,1.0,0,0,Talca,Maule,2014 al 2015,train
